AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program,Depth
wwmsp2sg_GardenIslandSettlement,GardenIslandSettlement,Garden Island Settlement,Garden Island Settlement,-1,-1,-32.21313,115.68872,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-1.2
wwmsp2sg_GreenIsland,GreenIsland,Green Island,Green Island,-1,-1,-30.68093,115.10975,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-5.4
wwmsp2sg_HillarysChannel,HillarysChannel,Hillarys Channel,Hillarys Channel,-1,-1,-31.822617,115.721312,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-5.9
wwmsp2sg_JervoiseBay,JervoiseBay,Jervoise Bay,Jervoise Bay,-1,-1,-32.1723,115.77004,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-4.5
wwmsp2sg_JurienImpactSite2.5,JurienImpactSite2.5,Jurien Impact Site 2.5,Jurien Impact Site 2.5,-1,-1,-30.33013,115.03149,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-3.9
wwmsp2sg_KangarooPoint,KangarooPoint,Kangaroo Point,Kangaroo Point,-1,-1,-30.58201,115.08563,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-4
wwmsp2sg_Kwinana,Kwinana,Kwinana,Kwinana,-1,-1,-32.19181,115.74355,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-5.2
wwmsp2sg_LuscombeBay,LuscombeBay,Luscombe Bay,Luscombe Bay,-1,-1,-32.16672,115.67521,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-1.5
wwmsp2sg_ManglesBay,ManglesBay,Mangles Bay,Mangles Bay,-1,-1,-32.27244,115.71357,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-3.4
wwmsp2sg_ManglesBayDepth,ManglesBayDepth,Mangles Bay Depth,Mangles Bay Depth,-1,-1,,,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,
