SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61402315,61402315,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Mcfaul Park,Mcfaul Park,20019835 [WIN_ID]; 2033-1-NW-0249 [AQWAB]; 61402315 [SITE_REF],,50,385780,6447704,-32.10121594,115.7894584,GDA94
61402316,61402316,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Southwell Primary,Southwell Primary,20019837 [WIN_ID]; 2033-1-NW-0251 [AQWAB]; 61402316 [SITE_REF],,50,385298,6449013,-32.08936023,115.7845074,GDA94
61402318,61402318,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Goodchild Park.,Goodchild Park.,20019840 [WIN_ID]; 2033-1-NW-0254 [AQWAB]; 61402318 [SITE_REF],,50,385498,6449227,-32.08745033,115.7866519,GDA94
61402323,61402323,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Fruit Growers Res,Fruit Growers Res,20019847 [WIN_ID]; 2033-1-NW-0261 [AQWAB]; 61402323 [SITE_REF],,50,385346,6447832,-32.10001737,115.7848749,GDA94
61402325,61402325,Groundwater,Bore or Well,AWRC,Beaconsfield - Training Centre,Training Centre,20019855 [WIN_ID]; 2033-1-NW-0269 [AQWAB]; 61402325 [SITE_REF],,50,383908,6451320,-32.0684097,115.7700592,GDA94
61402327,61402327,Groundwater,Bore or Well,AWRC,Phoenix Primary - School,School,20019862 [WIN_ID]; 2033-1-NW-0276 [AQWAB]; 61402327 [SITE_REF],,50,384813,6448649,-32.09259399,115.7793251,GDA94
61402329,61402329,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20019884 [WIN_ID]; 2033-1-NW-0298 [AQWAB]; 61402329 [SITE_REF],,50,385812,6450949,-32.07195016,115.7901832,GDA94
61402331,61402331,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Private,Private,20019891 [WIN_ID]; 2033-1-NW-0305 [AQWAB]; 61402331 [SITE_REF],,50,384435,6452162,-32.06086915,115.7757427,GDA94
61402332,61402332,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Private,Private,20019893 [WIN_ID]; 2033-1-NW-0307 [AQWAB]; 61402332 [SITE_REF],,50,386321,6448474,-32.0943254,115.7952823,GDA94
61402333,61402333,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20019913 [WIN_ID]; 2033-1-NW-0327 [AQWAB]; 61402333 [SITE_REF],,50,384273,6451371,-32.06798716,115.7739316,GDA94
61402334,61402334,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20019927 [WIN_ID]; 2033-1-NW-0341 [AQWAB]; 61402334 [SITE_REF],,50,384523,6448846,-32.09078747,115.7762762,GDA94
61402335,61402335,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20019928 [WIN_ID]; 2033-1-NW-0342 [AQWAB]; 61402335 [SITE_REF],,50,384519,6448728,-32.09185138,115.7762196,GDA94
61402336,61402336,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020252 [WIN_ID]; 2033-1-NW-0666 [AQWAB]; 61402336 [SITE_REF],,50,384275,6450620,-32.07476116,115.7738623,GDA94
61402337,61402337,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020253 [WIN_ID]; 2033-1-NW-0667 [AQWAB]; 61402337 [SITE_REF],,50,384701,6449402,-32.08579074,115.7782289,GDA94
61402338,61402338,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020254 [WIN_ID]; 2033-1-NW-0668 [AQWAB]; 61402338 [SITE_REF],,50,384802,6449809,-32.08213004,115.7793477,GDA94
61402339,61402339,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020255 [WIN_ID]; 2033-1-NW-0669 [AQWAB]; 61402339 [SITE_REF],,50,385071,6450170,-32.07890134,115.7822407,GDA94
