Site,Var,size,Datestart,DateEn,SizeOfArrayRemoved
BOM_BARRA_TFV_BOM_9281_Floating_148,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9281_Floating_149,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9281_Floating_150,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9281_Floating_151,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9281_Floating_152,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9281_Floating_153,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9281_Floating_154,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9281_Floating_155,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9572_Floating_156,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9572_Floating_157,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9572_Floating_158,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9572_Floating_159,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9572_Floating_160,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9572_Floating_161,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9572_Floating_162,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9572_Floating_163,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9887_Floating_164,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9887_Floating_165,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9887_Floating_166,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9887_Floating_167,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9887_Floating_168,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9887_Floating_169,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9887_Floating_170,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9887_Floating_171,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9977_Floating_172,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9977_Floating_173,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9977_Floating_174,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9977_Floating_175,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9977_Floating_176,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9977_Floating_177,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9977_Floating_178,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9977_Floating_179,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BG001_Floating_180,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BG001_Floating_181,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BG001_Floating_182,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BG001_Floating_183,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BG001_Floating_184,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BG001_Floating_185,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BG001_Floating_186,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BG001_Floating_187,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_FL_Floating_188,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_FL_Floating_189,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_FL_Floating_190,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_FL_Floating_191,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_FL_Floating_192,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
