Date,Depth,Bottom Depth (m),QC,Cloud Cover (%),QC,Conductivity (\muS/cm),QC,O2 Saturation (%),QC,Oxygen (mg/L),QC,pH (),QC,Salinity (psu),QC,Secchi depth (m),QC,Temperature (^{\circ}C),QC,Turbidity (NTU),QC,Wind Direction ((ø)),QC,Wind Speed (m/s),QC
12-04-2010 11:33:02,-2.13,    ,,    ,,37270.0000,Good,13.4000,Good,1.0000,Good,7.2300,Good,23.6300,Good,    ,,22.8100,Good,    ,,    ,,    ,
19-04-2010 11:13:07,-0.24,    ,,    ,,33450.0000,Good,109.7000,Good,8.4400,Good,7.6600,Good,20.9800,Good,    ,,22.3200,Good,    ,,    ,,    ,
19-04-2010 11:15:00,0.00,-2.4000,Good,0.0000,Good,    ,,    ,,    ,,    ,,    ,,1.0000,Good,    ,,    ,,    ,,0.0000,Good
19-04-2010 11:15:18,-0.51,    ,,    ,,33630.0000,Good,101.8000,Good,7.8200,Good,7.5800,Good,21.1100,Good,    ,,22.3900,Good,    ,,    ,,    ,
19-04-2010 11:18:11,-1.01,    ,,    ,,36330.0000,Good,69.5000,Good,5.3000,Good,7.3100,Good,22.9800,Good,    ,,22.1600,Good,    ,,    ,,    ,
19-04-2010 11:19:42,-1.51,    ,,    ,,37420.0000,Good,53.2000,Good,4.0400,Good,7.2200,Good,23.7500,Good,    ,,22.1100,Good,    ,,    ,,    ,
19-04-2010 11:20:57,-2.03,    ,,    ,,37810.0000,Good,44.9000,Good,3.4100,Good,7.1700,Good,24.0200,Good,    ,,22.1000,Good,    ,,    ,,    ,
19-04-2010 11:22:22,-2.28,    ,,    ,,37830.0000,Good,42.1000,Good,3.2000,Good,7.1700,Good,24.0400,Good,    ,,22.0900,Good,    ,,    ,,    ,
27-04-2010 11:54:32,-0.21,    ,,    ,,33410.0000,Good,139.8000,Good,10.9700,Good,7.9100,Good,20.9600,Good,    ,,21.2900,Good,    ,,    ,,    ,
27-04-2010 11:55:00,0.00,-2.2000,Good,0.0000,Good,    ,,    ,,    ,,    ,,    ,,0.8000,Good,    ,,    ,,    ,,0.0000,Good
27-04-2010 11:55:18,-0.51,    ,,    ,,33510.0000,Good,140.3000,Good,11.0400,Good,7.9100,Good,21.0400,Good,    ,,21.0900,Good,    ,,    ,,    ,
27-04-2010 11:58:02,-1.01,    ,,    ,,34910.0000,Good,129.2000,Good,10.2400,Good,7.7000,Good,22.0100,Good,    ,,20.3900,Good,    ,,    ,,    ,
27-04-2010 11:59:29,-1.51,    ,,    ,,35420.0000,Good,111.6000,Good,8.7900,Good,7.5200,Good,22.3600,Good,    ,,20.5900,Good,    ,,    ,,    ,
27-04-2010 12:00:25,-2.01,    ,,    ,,35460.0000,Good,110.3000,Good,8.6900,Good,7.5100,Good,22.4000,Good,    ,,20.6000,Good,    ,,    ,,    ,
03-05-2010 11:17:00,0.00,-2.4000,Good,100.0000,Good,    ,,    ,,    ,,    ,,    ,,1.1000,Good,    ,,    ,,    ,,0.0000,Good
03-05-2010 11:17:05,-0.20,    ,,    ,,34620.0000,Good,90.7000,Good,7.2900,Good,7.5500,Good,21.8200,Good,    ,,19.7100,Good,    ,,    ,,    ,
03-05-2010 11:17:51,-0.51,    ,,    ,,34600.0000,Good,89.3000,Good,7.1800,Good,7.5500,Good,21.8000,Good,    ,,19.7000,Good,    ,,    ,,    ,
03-05-2010 11:20:58,-1.01,    ,,    ,,36930.0000,Good,65.0000,Good,5.1500,Good,7.4100,Good,23.4300,Good,    ,,19.9700,Good,    ,,    ,,    ,
03-05-2010 11:21:58,-1.50,    ,,    ,,37600.0000,Good,52.4000,Good,4.1300,Good,7.3200,Good,23.9000,Good,    ,,20.1300,Good,    ,,    ,,    ,
03-05-2010 11:22:37,-2.01,    ,,    ,,37610.0000,Good,51.6000,Good,4.0700,Good,7.3200,Good,23.9000,Good,    ,,20.1300,Good,    ,,    ,,    ,
03-05-2010 11:23:11,-2.22,    ,,    ,,37600.0000,Good,51.6000,Good,4.0600,Good,7.3300,Good,23.9000,Good,    ,,20.1300,Good,    ,,    ,,    ,
24-05-2010 11:31:59,-0.21,    ,,    ,,23520.0000,Good,60.6000,Good,5.4500,Good,6.9900,Good,14.2900,Good,    ,,16.2900,Good,    ,,    ,,    ,
24-05-2010 11:32:51,-0.51,    ,,    ,,25420.0000,Good,56.9000,Good,5.0500,Good,6.9900,Good,15.5500,Good,    ,,16.5400,Good,    ,,    ,,    ,
24-05-2010 11:33:00,0.00,-2.3000,Good,15.0000,Good,    ,,    ,,    ,,    ,,    ,,0.9000,Good,    ,,    ,,    ,,0.0000,Good
24-05-2010 11:34:40,-1.01,    ,,    ,,29570.0000,Good,46.5000,Good,4.0200,Good,6.9900,Good,18.3500,Good,    ,,17.0100,Good,    ,,    ,,    ,
24-05-2010 11:36:38,-1.52,    ,,    ,,33680.0000,Good,54.2000,Good,4.5900,Good,6.9500,Good,21.1700,Good,    ,,17.1700,Good,    ,,    ,,    ,
24-05-2010 11:38:46,-2.02,    ,,    ,,39920.0000,Good,13.6000,Good,1.1200,Good,6.8700,Good,25.5400,Good,    ,,17.4200,Good,    ,,    ,,    ,
31-05-2010 11:29:00,0.00,-2.5000,Good,20.0000,Good,    ,,    ,,    ,,    ,,    ,,1.7000,Good,    ,,    ,,    ,,0.0000,Good
31-05-2010 11:29:13,-0.22,    ,,    ,,25090.0000,Good,62.4000,Good,5.6400,Good,7.2700,Good,15.3300,Good,    ,,15.7500,Good,    ,,    ,,    ,
31-05-2010 11:30:11,-0.52,    ,,    ,,26470.0000,Good,61.4000,Good,5.5200,Good,7.2500,Good,16.2600,Good,    ,,15.6700,Good,    ,,    ,,    ,
31-05-2010 11:30:50,-1.01,    ,,    ,,30600.0000,Good,69.3000,Good,6.0000,Good,7.1500,Good,19.0500,Good,    ,,16.7300,Good,    ,,    ,,    ,
31-05-2010 11:31:25,-1.52,    ,,    ,,34820.0000,Good,67.3000,Good,5.6400,Good,7.0600,Good,21.9600,Good,    ,,17.5100,Good,    ,,    ,,    ,
31-05-2010 11:32:01,-2.02,    ,,    ,,34970.0000,Good,65.8000,Good,5.5100,Good,7.0600,Good,22.0700,Good,    ,,17.5200,Good,    ,,    ,,    ,
07-06-2010 11:26:00,0.00,-2.1000,Good,0.0000,Good,    ,,    ,,    ,,    ,,    ,,1.3000,Good,    ,,    ,,    ,,0.0000,Good
08-06-2010 11:26:10,-0.20,    ,,    ,,25490.0000,Good,69.8000,Good,6.2600,Good,7.3600,Good,15.6000,Good,    ,,16.1000,Good,    ,,    ,,    ,
08-06-2010 11:26:51,-0.51,    ,,    ,,26080.0000,Good,66.1000,Good,5.9000,Good,7.3400,Good,15.9900,Good,    ,,16.1200,Good,    ,,    ,,    ,
08-06-2010 11:27:24,-1.01,    ,,    ,,35660.0000,Good,43.3000,Good,3.6100,Good,7.1100,Good,22.5500,Good,    ,,17.5700,Good,    ,,    ,,    ,
08-06-2010 11:27:51,-1.52,    ,,    ,,42710.0000,Good,19.7000,Good,1.5800,Good,7.0200,Good,27.5200,Good,    ,,17.9600,Good,    ,,    ,,    ,
08-06-2010 11:28:33,-2.00,    ,,    ,,43020.0000,Good,6.3000,Good,0.5000,Good,7.0200,Good,27.7500,Good,    ,,17.9800,Good,    ,,    ,,    ,
08-06-2010 11:29:02,-2.12,    ,,    ,,43020.0000,Good,4.6000,Good,0.3700,Good,7.0300,Good,27.7500,Good,    ,,17.9800,Good,    ,,    ,,    ,
21-06-2010 11:49:00,0.00,-3.0000,Good,0.0000,Good,    ,,    ,,    ,,    ,,    ,,1.7000,Good,    ,,    ,,    ,,0.0000,Good
05-07-2010 11:53:28,-0.22,    ,,    ,,20880.0000,Good,86.6000,Good,8.7900,Good,7.6100,Good,12.5100,Good,    ,,11.1300,Good,    ,,    ,,    ,
05-07-2010 11:54:00,0.00,-2.2000,Good,50.0000,Good,    ,,    ,,    ,,    ,,    ,,1.2000,Good,    ,,    ,,    ,,0.0000,Good
05-07-2010 11:54:20,-0.50,    ,,    ,,22370.0000,Good,81.4000,Good,8.0600,Good,7.5200,Good,13.5000,Good,    ,,11.9900,Good,    ,,    ,,    ,
05-07-2010 11:55:46,-1.00,    ,,    ,,31520.0000,Good,45.8000,Good,4.0800,Good,7.1900,Good,19.6700,Good,    ,,15.1400,Good,    ,,    ,,    ,
05-07-2010 11:57:00,-1.51,    ,,    ,,36080.0000,Good,21.5000,Good,1.8400,Good,7.0600,Good,22.8400,Good,    ,,16.1700,Good,    ,,    ,,    ,
05-07-2010 11:58:09,-2.04,    ,,    ,,36770.0000,Good,19.8000,Good,1.6800,Good,7.0500,Good,23.3200,Good,    ,,16.2100,Good,    ,,    ,,    ,
12-07-2010 10:22:11,-0.20,    ,,    ,,14000.0000,Good,75.4000,Good,7.6500,Good,7.4200,Good,8.1300,Good,    ,,12.4000,Good,    ,,    ,,    ,
12-07-2010 10:23:27,-0.53,    ,,    ,,14000.0000,Good,75.8000,Good,7.6900,Good,7.4300,Good,8.1300,Good,    ,,12.3700,Good,    ,,    ,,    ,
12-07-2010 10:24:03,-1.00,    ,,    ,,14030.0000,Good,75.7000,Good,7.6900,Good,7.4300,Good,8.1500,Good,    ,,12.3600,Good,    ,,    ,,    ,
12-07-2010 10:24:33,-1.49,    ,,    ,,14060.0000,Good,75.7000,Good,7.6900,Good,7.4400,Good,8.1700,Good,    ,,12.3500,Good,    ,,    ,,    ,
12-07-2010 10:24:59,-2.12,    ,,    ,,14200.0000,Good,75.8000,Good,7.7000,Good,7.4500,Good,8.2500,Good,    ,,12.3300,Good,    ,,    ,,    ,
12-07-2010 10:25:00,0.00,-2.6000,Good,100.0000,Good,    ,,    ,,    ,,    ,,    ,,1.0000,Good,    ,,    ,,315.0000,Good,1.5300,Good
12-07-2010 10:25:53,-2.49,    ,,    ,,15580.0000,Good,68.2000,Good,6.9100,Good,7.4200,Good,9.1300,Good,    ,,12.2000,Good,    ,,    ,,    ,
12-07-2010 10:26:21,-2.68,    ,,    ,,18570.0000,Good,62.9000,Good,6.2400,Good,7.3600,Good,11.0400,Good,    ,,12.6100,Good,    ,,    ,,    ,
19-07-2010 11:08:59,-0.22,    ,,    ,,16270.0000,Good,84.8000,Good,8.6300,Good,7.7200,Good,9.5600,Good,    ,,11.8300,Good,    ,,    ,,    ,
19-07-2010 11:09:00,0.00,-2.2000,Good,80.0000,Good,    ,,    ,,    ,,    ,,    ,,1.5000,Good,    ,,    ,,    ,,0.0000,Good
19-07-2010 11:09:36,-0.52,    ,,    ,,16270.0000,Good,84.4000,Good,8.6000,Good,7.7200,Good,9.5600,Good,    ,,11.8500,Good,    ,,    ,,    ,
19-07-2010 11:10:11,-1.02,    ,,    ,,16270.0000,Good,84.4000,Good,8.5800,Good,7.7200,Good,9.5600,Good,    ,,11.9200,Good,    ,,    ,,    ,
19-07-2010 11:11:08,-1.51,    ,,    ,,16270.0000,Good,84.0000,Good,8.5600,Good,7.7200,Good,9.5600,Good,    ,,11.7800,Good,    ,,    ,,    ,
19-07-2010 11:11:47,-2.02,    ,,    ,,16270.0000,Good,83.7000,Good,8.5400,Good,7.7100,Good,9.5600,Good,    ,,11.7700,Good,    ,,    ,,    ,
26-07-2010 13:44:33,-0.21,    ,,    ,,14830.0000,Good,91.1000,Good,9.0400,Good,7.7300,Good,8.6600,Good,    ,,13.2900,Good,    ,,    ,,    ,
26-07-2010 13:46:00,0.00,-2.4000,Good,30.0000,Good,    ,,    ,,    ,,    ,,    ,,1.8000,Good,    ,,    ,,247.5000,Good,1.0200,Good
26-07-2010 13:46:18,-0.50,    ,,    ,,15480.0000,Good,89.0000,Good,8.9000,Good,7.7100,Good,9.0600,Good,    ,,12.8500,Good,    ,,    ,,    ,
26-07-2010 13:47:28,-1.00,    ,,    ,,17080.0000,Good,89.5000,Good,8.8200,Good,7.6400,Good,10.0900,Good,    ,,13.1600,Good,    ,,    ,,    ,
26-07-2010 13:48:20,-1.50,    ,,    ,,26520.0000,Good,88.2000,Good,8.1700,Good,7.3900,Good,16.2800,Good,    ,,14.2400,Good,    ,,    ,,    ,
26-07-2010 13:49:02,-2.01,    ,,    ,,30570.0000,Good,77.4000,Good,6.9900,Good,7.2900,Good,19.0200,Good,    ,,14.7000,Good,    ,,    ,,    ,
26-07-2010 13:49:51,-2.44,    ,,    ,,30640.0000,Good,74.5000,Good,6.7300,Good,7.2800,Good,19.0700,Good,    ,,14.7100,Good,    ,,    ,,    ,
02-08-2010 10:30:44,-0.23,    ,,    ,,10320.0000,Good,79.4000,Good,7.9700,Good,7.2900,Good,5.8600,Good,    ,,13.5100,Good,    ,,    ,,    ,
02-08-2010 10:31:00,0.00,-2.5000,Good,0.0000,Good,    ,,    ,,    ,,    ,,    ,,1.4000,Good,    ,,    ,,0.0000,Good,1.0200,Good
02-08-2010 10:31:30,-0.53,    ,,    ,,10350.0000,Good,78.1000,Good,7.8600,Good,7.2700,Good,5.8800,Good,    ,,13.4200,Good,    ,,    ,,    ,
02-08-2010 10:32:07,-1.02,    ,,    ,,10400.0000,Good,76.8000,Good,7.7400,Good,7.2700,Good,5.9100,Good,    ,,13.3500,Good,    ,,    ,,    ,
02-08-2010 10:32:50,-1.52,    ,,    ,,10710.0000,Good,75.7000,Good,7.6200,Good,7.2500,Good,6.1000,Good,    ,,13.3500,Good,    ,,    ,,    ,
02-08-2010 10:33:27,-2.02,    ,,    ,,11300.0000,Good,70.0000,Good,6.9300,Good,7.1100,Good,6.4600,Good,    ,,14.0000,Good,    ,,    ,,    ,
09-08-2010 11:00:43,-0.22,    ,,    ,,14800.0000,Good,78.3000,Good,7.7400,Good,7.4700,Good,8.6400,Good,    ,,13.4700,Good,    ,,    ,,    ,
09-08-2010 11:01:41,-0.50,    ,,    ,,14910.0000,Good,73.4000,Good,7.2600,Good,7.4400,Good,8.7100,Good,    ,,13.4100,Good,    ,,    ,,    ,
09-08-2010 11:02:28,-1.00,    ,,    ,,15000.0000,Good,71.5000,Good,7.0700,Good,7.4200,Good,8.7700,Good,    ,,13.3900,Good,    ,,    ,,    ,
09-08-2010 11:03:20,-1.50,    ,,    ,,16270.0000,Good,64.9000,Good,6.3200,Good,7.3800,Good,9.5700,Good,    ,,13.8700,Good,    ,,    ,,    ,
09-08-2010 11:04:26,-2.07,    ,,    ,,24720.0000,Good,36.9000,Good,3.3300,Good,7.2300,Good,15.0900,Good,    ,,15.8200,Good,    ,,    ,,    ,
09-08-2010 11:05:08,-2.28,    ,,    ,,25030.0000,Good,34.7000,Good,3.1300,Good,7.2300,Good,15.2900,Good,    ,,15.8600,Good,    ,,    ,,    ,
09-08-2010 11:09:00,0.00,-2.4000,Good,0.0000,Good,    ,,    ,,    ,,    ,,    ,,2.1000,Good,    ,,    ,,45.0000,Good,3.0600,Good
16-08-2010 10:38:31,-0.22,    ,,    ,,9345.0000,Good,77.3000,Good,7.7600,Good,7.3400,Good,5.2700,Good,    ,,13.7300,Good,    ,,    ,,    ,
16-08-2010 10:39:00,0.00,-2.1000,Good,90.0000,Good,    ,,    ,,    ,,    ,,    ,,1.2000,Good,    ,,    ,,    ,,0.0000,Good
16-08-2010 10:39:16,-0.51,    ,,    ,,9331.0000,Good,76.2000,Good,7.6500,Good,7.3300,Good,5.2600,Good,    ,,13.7300,Good,    ,,    ,,    ,
16-08-2010 10:39:50,-1.01,    ,,    ,,9356.0000,Good,76.0000,Good,7.6300,Good,7.3400,Good,5.2700,Good,    ,,13.7200,Good,    ,,    ,,    ,
16-08-2010 10:40:19,-1.52,    ,,    ,,9359.0000,Good,75.5000,Good,7.5800,Good,7.3400,Good,5.2800,Good,    ,,13.7200,Good,    ,,    ,,    ,
16-08-2010 10:41:01,-1.76,    ,,    ,,9656.0000,Good,70.3000,Good,7.0400,Good,7.3400,Good,5.4600,Good,    ,,13.7700,Good,    ,,    ,,    ,
23-08-2010 11:16:19,-0.21,    ,,    ,,12990.0000,Good,79.3000,Good,7.8700,Good,7.6200,Good,7.5100,Good,    ,,13.6200,Good,    ,,    ,,    ,
23-08-2010 11:17:00,0.00,-2.3000,Good,80.0000,Good,    ,,    ,,    ,,    ,,    ,,1.8000,Good,    ,,    ,,    ,,0.0000,Good
23-08-2010 11:17:05,-0.50,    ,,    ,,12990.0000,Good,78.8000,Good,7.8200,Good,7.6100,Good,7.5100,Good,    ,,13.6500,Good,    ,,    ,,    ,
23-08-2010 11:17:41,-1.03,    ,,    ,,13210.0000,Good,77.4000,Good,7.7400,Good,7.6000,Good,7.6400,Good,    ,,13.2000,Good,    ,,    ,,    ,
23-08-2010 11:18:47,-1.51,    ,,    ,,13600.0000,Good,76.3000,Good,7.6100,Good,7.5900,Good,7.8900,Good,    ,,13.2400,Good,    ,,    ,,    ,
23-08-2010 11:20:55,-2.15,    ,,    ,,25130.0000,Good,27.9000,Good,2.5400,Good,7.2600,Good,15.3600,Good,    ,,15.4300,Good,    ,,    ,,    ,
30-08-2010 11:40:41,-0.23,    ,,    ,,13610.0000,Good,78.5000,Good,7.4600,Good,7.4700,Good,7.9000,Good,    ,,15.5000,Good,    ,,    ,,    ,
30-08-2010 11:41:00,0.00,-2.1000,Good,90.0000,Good,    ,,    ,,    ,,    ,,    ,,1.5000,Good,    ,,    ,,    ,,    ,
30-08-2010 11:41:38,-0.50,    ,,    ,,13640.0000,Good,77.2000,Good,7.3400,Good,7.4500,Good,7.9200,Good,    ,,15.4700,Good,    ,,    ,,    ,
30-08-2010 11:43:15,-1.01,    ,,    ,,13700.0000,Good,76.8000,Good,7.3100,Good,7.4500,Good,7.9500,Good,    ,,15.4100,Good,    ,,    ,,    ,
30-08-2010 11:44:30,-1.51,    ,,    ,,13840.0000,Good,69.0000,Good,6.5800,Good,7.4300,Good,8.0400,Good,    ,,15.3400,Good,    ,,    ,,    ,
30-08-2010 11:46:25,-1.82,    ,,    ,,22360.0000,Good,25.6000,Good,2.3200,Good,7.2000,Good,13.5200,Good,    ,,16.1300,Good,    ,,    ,,    ,
30-08-2010 11:47:12,-1.96,    ,,    ,,26510.0000,Good,21.0000,Good,1.8600,Good,7.1600,Good,16.2800,Good,    ,,16.4700,Good,    ,,    ,,    ,
06-09-2010 11:09:28,-0.22,    ,,    ,,12520.0000,Good,68.8000,Good,6.5100,Good,7.4000,Good,7.2100,Good,    ,,15.9700,Good,    ,,    ,,    ,
06-09-2010 11:10:00,0.00,-2.3000,Good,80.0000,Good,    ,,    ,,    ,,    ,,    ,,1.1000,Good,    ,,    ,,    ,,0.0000,Good
06-09-2010 11:10:18,-0.50,    ,,    ,,13190.0000,Good,66.4000,Good,6.3100,Good,7.3800,Good,7.6300,Good,    ,,15.5800,Good,    ,,    ,,    ,
06-09-2010 11:11:25,-1.00,    ,,    ,,13790.0000,Good,64.5000,Good,6.1000,Good,7.3600,Good,8.0100,Good,    ,,15.6900,Good,    ,,    ,,    ,
06-09-2010 11:12:44,-1.50,    ,,    ,,17220.0000,Good,54.0000,Good,4.9400,Good,7.2900,Good,10.1800,Good,    ,,16.7300,Good,    ,,    ,,    ,
06-09-2010 11:13:40,-2.01,    ,,    ,,20260.0000,Good,47.3000,Good,4.2200,Good,7.2600,Good,12.1400,Good,    ,,17.3500,Good,    ,,    ,,    ,
06-09-2010 11:14:42,-2.21,    ,,    ,,22180.0000,Good,39.6000,Good,3.5000,Good,7.2400,Good,13.4100,Good,    ,,17.3500,Good,    ,,    ,,    ,
13-09-2010 11:25:19,-0.24,    ,,    ,,9198.0000,Good,79.1000,Good,7.4800,Good,7.4900,Good,5.1800,Good,    ,,16.5800,Good,    ,,    ,,    ,
