Date,Depth,Bottom Depth (m),QC,Cloud Cover (%),QC,Conductivity (\muS/cm),QC,Nitrate (mg/L),QC,Ammonium (mg/L),QC,O2 Saturation (%),QC,Oxygen (mg/L),QC,pH (),QC,Filterable Reactive Phosphate (mg/L),QC,Salinity (psu),QC,Secchi depth (m),QC,Temperature (^{\circ}C),QC,Turbidity (NTU),QC,Wind Direction ((ø)),QC,Wind Speed (m/s),QC
15-02-2010 09:54:20,-1.01,    ,,    ,,27050.0000,Good,    ,,    ,,47.9000,Good,3.4400,Good,7.3700,Good,    ,,16.5300,Good,    ,,27.7000,Good,    ,,    ,,    ,
15-02-2010 09:55:21,-1.50,    ,,    ,,27780.0000,Good,    ,,    ,,41.6000,Good,2.9800,Good,7.3400,Good,    ,,17.0200,Good,    ,,27.7400,Good,    ,,    ,,    ,
15-02-2010 09:56:16,-1.99,    ,,    ,,30030.0000,Good,    ,,    ,,43.4000,Good,3.0700,Good,7.3600,Good,    ,,18.5300,Good,    ,,27.9500,Good,    ,,    ,,    ,
15-02-2010 09:57:54,-2.51,    ,,    ,,30720.0000,Good,    ,,    ,,40.2000,Good,2.8200,Good,7.3600,Good,    ,,19.0000,Good,    ,,28.1600,Good,    ,,    ,,    ,
15-02-2010 09:58:24,-2.70,    ,,    ,,30850.0000,Good,    ,,    ,,39.5000,Good,2.7700,Good,7.3600,Good,    ,,19.0900,Good,    ,,28.2100,Good,    ,,    ,,    ,
22-02-2010 10:16:00,0.00,-1.6500,Good,1.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.8000,Good,    ,,    ,,90.0000,Good,1.0200,Good
22-02-2010 10:17:39,-0.24,    ,,    ,,26610.0000,Good,    ,,    ,,93.5000,Good,6.8500,Good,7.8000,Good,    ,,16.2600,Good,    ,,26.6400,Good,    ,,    ,,    ,
22-02-2010 10:18:05,-0.48,    ,,    ,,26620.0000,Good,    ,,    ,,92.9000,Good,6.8100,Good,7.8000,Good,    ,,16.2600,Good,    ,,26.5900,Good,    ,,    ,,    ,
22-02-2010 10:18:28,-0.97,    ,,    ,,26690.0000,Good,    ,,    ,,88.2000,Good,6.4900,Good,7.7300,Good,    ,,16.3100,Good,    ,,26.3300,Good,    ,,    ,,    ,
22-02-2010 10:19:01,-1.52,    ,,    ,,28740.0000,Good,    ,,    ,,52.5000,Good,3.8000,Good,7.5300,Good,    ,,17.7000,Good,    ,,26.8700,Good,    ,,    ,,    ,
22-02-2010 10:19:43,-1.62,    ,,    ,,29550.0000,Good,    ,,    ,,39.7000,Good,2.8200,Good,7.4600,Good,    ,,18.2500,Good,    ,,27.1700,Good,    ,,    ,,    ,
02-03-2010 10:16:20,-0.24,    ,,    ,,30150.0000,Good,    ,,    ,,102.4000,Good,7.2800,Good,7.7500,Good,    ,,18.6200,Good,    ,,27.5800,Good,    ,,    ,,    ,
02-03-2010 10:17:00,0.00,-2.4000,Good,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.8000,Good,    ,,    ,,45.0000,Good,1.0200,Good
02-03-2010 10:17:24,-0.51,    ,,    ,,30250.0000,Good,    ,,    ,,103.4000,Good,7.3800,Good,7.7700,Good,    ,,18.7000,Good,    ,,27.3100,Good,    ,,    ,,    ,
02-03-2010 10:18:47,-1.03,    ,,    ,,31050.0000,Good,    ,,    ,,70.1000,Good,5.0400,Good,7.6100,Good,    ,,19.2600,Good,    ,,26.7000,Good,    ,,    ,,    ,
02-03-2010 10:19:37,-1.54,    ,,    ,,32090.0000,Good,    ,,    ,,53.9000,Good,3.8500,Good,7.5100,Good,    ,,19.9700,Good,    ,,26.7400,Good,    ,,    ,,    ,
02-03-2010 10:20:55,-1.92,    ,,    ,,32470.0000,Good,    ,,    ,,45.8000,Good,3.2700,Good,7.4900,Good,    ,,20.2300,Good,    ,,26.7100,Good,    ,,    ,,    ,
02-03-2010 10:21:47,-2.32,    ,,    ,,33340.0000,Good,    ,,    ,,41.2000,Good,2.9200,Good,7.4700,Good,    ,,20.8200,Good,    ,,27.1400,Good,    ,,    ,,    ,
08-03-2010 09:50:34,-0.23,    ,,    ,,28480.0000,Good,    ,,    ,,73.8000,Good,5.5100,Good,7.5900,Good,    ,,17.5400,Good,    ,,25.0700,Good,    ,,    ,,    ,
08-03-2010 09:51:00,0.00,-2.0000,Good,10.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.7000,Good,    ,,    ,,135.0000,Good,1.0200,Good
08-03-2010 09:51:20,-0.52,    ,,    ,,28540.0000,Good,    ,,    ,,74.5000,Good,5.6000,Good,7.6300,Good,    ,,17.5900,Good,    ,,24.6400,Good,    ,,    ,,    ,
08-03-2010 09:52:15,-1.01,    ,,    ,,30150.0000,Good,    ,,    ,,53.3000,Good,3.9600,Good,7.5200,Good,    ,,18.6700,Good,    ,,24.9800,Good,    ,,    ,,    ,
08-03-2010 09:53:03,-1.52,    ,,    ,,31550.0000,Good,    ,,    ,,35.0000,Good,2.5700,Good,7.4500,Good,    ,,19.6300,Good,    ,,25.3600,Good,    ,,    ,,    ,
08-03-2010 09:54:14,-2.03,    ,,    ,,32560.0000,Good,    ,,    ,,22.9000,Good,1.6700,Good,7.4000,Good,    ,,20.3200,Good,    ,,25.6200,Good,    ,,    ,,    ,
08-03-2010 09:54:38,-2.28,    ,,    ,,32620.0000,Good,    ,,    ,,22.5000,Good,1.6400,Good,7.4000,Good,    ,,20.3600,Good,    ,,25.6200,Good,    ,,    ,,    ,
15-03-2010 09:53:33,-0.20,    ,,    ,,35290.0000,Good,    ,,    ,,112.8000,Good,8.0600,Good,7.9700,Good,    ,,22.1900,Good,    ,,26.1400,Good,    ,,    ,,    ,
15-03-2010 09:54:00,0.00,    ,,80.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.5000,Good,    ,,    ,,225.0000,Good,2.0400,Good
15-03-2010 09:54:18,-0.50,    ,,    ,,35370.0000,Good,    ,,    ,,112.3000,Good,8.0500,Good,7.9700,Good,    ,,22.2600,Good,    ,,25.8700,Good,    ,,    ,,    ,
15-03-2010 09:55:26,-1.01,    ,,    ,,35780.0000,Good,    ,,    ,,81.9000,Good,5.8900,Good,7.8500,Good,    ,,22.5500,Good,    ,,25.6100,Good,    ,,    ,,    ,
15-03-2010 09:56:36,-1.50,    ,,    ,,39140.0000,Good,    ,,    ,,17.1000,Good,1.2200,Good,7.5000,Good,    ,,24.9100,Good,    ,,25.4800,Good,    ,,    ,,    ,
15-03-2010 09:57:40,-2.01,    ,,    ,,39800.0000,Good,    ,,    ,,6.4000,Good,0.4600,Good,7.4400,Good,    ,,25.3700,Good,    ,,25.4000,Good,    ,,    ,,    ,
22-03-2010 10:00:00,0.00,-2.2500,Good,99.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.8000,Good,    ,,    ,,45.0000,Good,0.5100,Good
29-03-2010 10:18:35,-0.21,    ,,    ,,34800.0000,Good,    ,,    ,,128.9000,Good,9.5600,Good,7.9700,Good,    ,,21.8900,Good,    ,,24.0700,Good,    ,,    ,,    ,
29-03-2010 10:19:00,0.00,-3.0000,Good,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.6000,Good,    ,,    ,,45.0000,Good,1.5300,Good
29-03-2010 10:19:32,-0.51,    ,,    ,,34860.0000,Good,    ,,    ,,123.5000,Good,9.2200,Good,7.9400,Good,    ,,21.9400,Good,    ,,23.6700,Good,    ,,    ,,    ,
29-03-2010 10:20:28,-1.03,    ,,    ,,34950.0000,Good,    ,,    ,,98.0000,Good,7.3400,Good,7.8000,Good,    ,,22.0100,Good,    ,,23.4800,Good,    ,,    ,,    ,
29-03-2010 10:21:26,-1.50,    ,,    ,,34980.0000,Good,    ,,    ,,96.0000,Good,7.2000,Good,7.7900,Good,    ,,22.0300,Good,    ,,23.4600,Good,    ,,    ,,    ,
29-03-2010 10:22:04,-2.00,    ,,    ,,34990.0000,Good,    ,,    ,,96.3000,Good,7.2200,Good,7.7900,Good,    ,,22.0300,Good,    ,,23.4500,Good,    ,,    ,,    ,
29-03-2010 10:22:54,-2.51,    ,,    ,,35010.0000,Good,    ,,    ,,91.6000,Good,6.8700,Good,7.7600,Good,    ,,22.0500,Good,    ,,23.4100,Good,    ,,    ,,    ,
29-03-2010 10:23:38,-2.99,    ,,    ,,35020.0000,Good,    ,,    ,,89.9000,Good,6.7400,Good,7.7500,Good,    ,,22.0500,Good,    ,,23.4000,Good,    ,,    ,,    ,
06-04-2010 11:45:00,0.00,-2.9000,Good,99.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.8000,Good,    ,,    ,,    ,,0.0000,Good
06-04-2010 11:45:23,-0.25,    ,,    ,,18760.0000,Good,    ,,    ,,64.3000,Good,5.2800,Good,7.3800,Good,    ,,11.1400,Good,    ,,21.8800,Good,    ,,    ,,    ,
06-04-2010 11:45:55,-0.52,    ,,    ,,19040.0000,Good,    ,,    ,,58.6000,Good,4.8100,Good,7.3600,Good,    ,,11.3300,Good,    ,,21.8400,Good,    ,,    ,,    ,
06-04-2010 11:46:51,-1.03,    ,,    ,,21960.0000,Good,    ,,    ,,39.0000,Good,3.1500,Good,7.2800,Good,    ,,13.2300,Good,    ,,22.1500,Good,    ,,    ,,    ,
06-04-2010 11:47:46,-1.52,    ,,    ,,27780.0000,Good,    ,,    ,,15.1000,Good,1.1800,Good,7.1800,Good,    ,,17.1000,Good,    ,,22.8200,Good,    ,,    ,,    ,
06-04-2010 11:48:26,-2.00,    ,,    ,,29790.0000,Good,    ,,    ,,7.3000,Good,0.5600,Good,7.1600,Good,    ,,18.4600,Good,    ,,23.1500,Good,    ,,    ,,    ,
06-04-2010 11:49:02,-2.51,    ,,    ,,30530.0000,Good,    ,,    ,,4.9000,Good,0.3800,Good,7.1800,Good,    ,,18.9600,Good,    ,,23.3400,Good,    ,,    ,,    ,
06-04-2010 11:49:36,-2.92,    ,,    ,,30800.0000,Good,    ,,    ,,4.5000,Good,0.3500,Good,7.1900,Good,    ,,19.1500,Good,    ,,23.4100,Good,    ,,    ,,    ,
12-04-2010 10:12:00,0.00,-2.6000,Good,100.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,1.0000,Good,    ,,    ,,    ,,0.0000,Good
12-04-2010 10:12:08,-0.23,    ,,    ,,22380.0000,Good,    ,,    ,,69.9000,Good,5.7100,Good,7.4400,Good,    ,,13.5100,Good,    ,,21.5100,Good,    ,,    ,,    ,
12-04-2010 10:12:53,-0.50,    ,,    ,,22420.0000,Good,    ,,    ,,69.7000,Good,5.6800,Good,7.4400,Good,    ,,13.5400,Good,    ,,21.5400,Good,    ,,    ,,    ,
12-04-2010 10:13:57,-1.01,    ,,    ,,25060.0000,Good,    ,,    ,,57.0000,Good,4.5600,Good,7.3500,Good,    ,,15.2900,Good,    ,,21.9700,Good,    ,,    ,,    ,
12-04-2010 10:15:14,-1.52,    ,,    ,,31190.0000,Good,    ,,    ,,25.4000,Good,1.9600,Good,7.1800,Good,    ,,19.4200,Good,    ,,22.6500,Good,    ,,    ,,    ,
12-04-2010 10:16:49,-2.21,    ,,    ,,34080.0000,Good,    ,,    ,,4.0000,Good,0.3000,Good,7.1900,Good,    ,,21.4100,Good,    ,,22.9500,Good,    ,,    ,,    ,
12-04-2010 10:17:26,-2.52,    ,,    ,,34210.0000,Good,    ,,    ,,3.5000,Good,0.2600,Good,7.1900,Good,    ,,21.4900,Good,    ,,22.9700,Good,    ,,    ,,    ,
19-04-2010 09:56:23,-0.22,    ,,    ,,28990.0000,Good,    ,,    ,,46.1000,Good,3.6400,Good,7.3200,Good,    ,,17.9300,Good,    ,,21.8500,Good,    ,,    ,,    ,
19-04-2010 09:58:00,0.00,-3.2000,Good,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,1.2000,Good,    ,,    ,,    ,,0.0000,Good
19-04-2010 09:58:01,-0.50,    ,,    ,,29230.0000,Good,    ,,    ,,43.8000,Good,3.4800,Good,7.3000,Good,    ,,18.1000,Good,    ,,21.5200,Good,    ,,    ,,    ,
19-04-2010 09:59:03,-1.01,    ,,    ,,32720.0000,Good,    ,,    ,,34.2000,Good,2.6500,Good,7.2500,Good,    ,,20.4800,Good,    ,,22.0700,Good,    ,,    ,,    ,
19-04-2010 10:00:50,-1.53,    ,,    ,,36440.0000,Good,    ,,    ,,8.0000,Good,0.6100,Good,7.1700,Good,    ,,23.0600,Good,    ,,22.3100,Good,    ,,    ,,    ,
19-04-2010 10:01:59,-2.02,    ,,    ,,36950.0000,Good,    ,,    ,,3.5000,Good,0.2700,Good,7.1600,Good,    ,,23.4100,Good,    ,,22.3300,Good,    ,,    ,,    ,
19-04-2010 10:03:23,-2.51,    ,,    ,,37010.0000,Good,    ,,    ,,2.8000,Good,0.2100,Good,7.1700,Good,    ,,23.4600,Good,    ,,22.3400,Good,    ,,    ,,    ,
19-04-2010 10:04:13,-3.01,    ,,    ,,37030.0000,Good,    ,,    ,,2.6000,Good,0.2000,Good,7.1800,Good,    ,,23.4800,Good,    ,,22.3500,Good,    ,,    ,,    ,
27-04-2010 10:38:11,-0.23,    ,,    ,,30020.0000,Good,    ,,    ,,146.9000,Good,11.9600,Good,8.0400,Good,    ,,18.6500,Good,    ,,20.0200,Good,    ,,    ,,    ,
27-04-2010 10:39:00,0.00,-2.6000,Good,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.7000,Good,    ,,    ,,135.0000,Good,1.0200,Good
27-04-2010 10:39:28,-0.53,    ,,    ,,29990.0000,Good,    ,,    ,,150.0000,Good,12.2800,Good,8.0900,Good,    ,,18.6300,Good,    ,,19.7600,Good,    ,,    ,,    ,
27-04-2010 10:41:26,-1.02,    ,,    ,,30510.0000,Good,    ,,    ,,123.5000,Good,10.1400,Good,7.8800,Good,    ,,18.9900,Good,    ,,19.4400,Good,    ,,    ,,    ,
27-04-2010 10:42:55,-1.53,    ,,    ,,31550.0000,Good,    ,,    ,,108.7000,Good,8.7900,Good,7.7400,Good,    ,,19.6900,Good,    ,,20.0700,Good,    ,,    ,,    ,
27-04-2010 10:44:54,-2.01,    ,,    ,,31970.0000,Good,    ,,    ,,99.1000,Good,7.9500,Good,7.6300,Good,    ,,19.9800,Good,    ,,20.4100,Good,    ,,    ,,    ,
27-04-2010 10:46:17,-2.52,    ,,    ,,32100.0000,Good,    ,,    ,,95.0000,Good,7.6000,Good,7.5900,Good,    ,,20.0700,Good,    ,,20.5200,Good,    ,,    ,,    ,
03-05-2010 10:15:53,-0.21,    ,,    ,,30650.0000,Good,    ,,    ,,70.1000,Good,5.8100,Good,7.4100,Good,    ,,19.0900,Good,    ,,18.9500,Good,    ,,    ,,    ,
03-05-2010 10:16:00,0.00,-3.2000,Good,80.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,1.2000,Good,    ,,    ,,    ,,0.0000,Good
03-05-2010 10:16:37,-0.50,    ,,    ,,30860.0000,Good,    ,,    ,,68.7000,Good,5.7000,Good,7.4100,Good,    ,,19.2300,Good,    ,,18.9300,Good,    ,,    ,,    ,
03-05-2010 10:17:21,-1.01,    ,,    ,,32090.0000,Good,    ,,    ,,62.7000,Good,5.1400,Good,7.3700,Good,    ,,20.0700,Good,    ,,19.2300,Good,    ,,    ,,    ,
03-05-2010 10:18:26,-1.51,    ,,    ,,33820.0000,Good,    ,,    ,,49.5000,Good,4.0000,Good,7.2900,Good,    ,,21.2600,Good,    ,,19.7100,Good,    ,,    ,,    ,
03-05-2010 10:19:11,-2.01,    ,,    ,,33980.0000,Good,    ,,    ,,45.6000,Good,3.6700,Good,7.2700,Good,    ,,21.3700,Good,    ,,19.7900,Good,    ,,    ,,    ,
03-05-2010 10:20:45,-2.51,    ,,    ,,34140.0000,Good,    ,,    ,,44.6000,Good,3.5900,Good,7.2800,Good,    ,,21.4800,Good,    ,,19.8000,Good,    ,,    ,,    ,
03-05-2010 10:21:26,-2.98,    ,,    ,,34350.0000,Good,    ,,    ,,42.8000,Good,3.4400,Good,7.2700,Good,    ,,21.6300,Good,    ,,19.8600,Good,    ,,    ,,    ,
10-05-2010 10:03:00,0.00,    ,,80.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,1.3000,Good,    ,,    ,,    ,,    ,
10-05-2010 10:03:32,-0.23,    ,,    ,,31920.0000,Good,    ,,    ,,67.7000,Good,5.7500,Good,7.4200,Good,    ,,19.9600,Good,    ,,17.4600,Good,    ,,    ,,    ,
10-05-2010 10:04:13,-0.52,    ,,    ,,31810.0000,Good,    ,,    ,,66.1000,Good,5.6200,Good,7.4100,Good,    ,,19.8800,Good,    ,,17.4800,Good,    ,,    ,,    ,
10-05-2010 10:05:26,-1.00,    ,,    ,,33290.0000,Good,    ,,    ,,51.5000,Good,4.3100,Good,7.3400,Good,    ,,20.9000,Good,    ,,17.9100,Good,    ,,    ,,    ,
10-05-2010 10:06:35,-1.51,    ,,    ,,35810.0000,Good,    ,,    ,,34.4000,Good,2.8000,Good,7.2300,Good,    ,,22.6500,Good,    ,,18.7300,Good,    ,,    ,,    ,
10-05-2010 10:07:35,-2.09,    ,,    ,,37420.0000,Good,    ,,    ,,13.2000,Good,1.0600,Good,7.1500,Good,    ,,23.7800,Good,    ,,19.2500,Good,    ,,    ,,    ,
10-05-2010 10:08:24,-2.36,    ,,    ,,37940.0000,Good,    ,,    ,,6.6000,Good,0.5200,Good,7.1200,Good,    ,,24.1400,Good,    ,,19.4400,Good,    ,,    ,,    ,
17-05-2010 10:04:00,0.00,-3.1000,Good,30.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,1.3000,Good,    ,,    ,,    ,,0.0000,Good
17-05-2010 10:04:45,-0.18,    ,,    ,,33900.0000,Good,    ,,    ,,43.8000,Good,3.7400,Good,7.2800,Good,    ,,21.3200,Good,    ,,16.7200,Good,    ,,    ,,    ,
17-05-2010 10:05:15,-0.49,    ,,    ,,33910.0000,Good,    ,,    ,,41.8000,Good,3.5700,Good,7.2800,Good,    ,,21.3300,Good,    ,,16.7000,Good,    ,,    ,,    ,
