Date,Depth,Bottom Depth (m),QC,Chlorophyll-a (\mug/L),QC,Chlorophyll-c (\mug/L),QC,Chlorophyll sample volume ((mL)),QC,Cloud Cover (%),QC,Conductivity (\muS/cm),QC,O2 Saturation (%),QC,Oxygen (mg/L),QC,pH (),QC,Phaeophytin a (mg/L),QC,Salinity (psu),QC,Secchi depth (m),QC,Temperature (^{\circ}C),QC,Turbidity (NTU),QC,Wind Direction ((ø)),QC,Wind Speed (m/s),QC
18-01-2010 08:31:06,-0.20,    ,,    ,,    ,,    ,,    ,,9837.0000,Good,55.6000,Good,4.2000,Good,7.3900,Good,    ,,5.5100,Good,    ,,28.2800,Good,    ,,    ,,    ,
18-01-2010 08:32:00,0.00,-1.5000,Good,    ,,    ,,    ,,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,
18-01-2010 08:32:49,-0.51,    ,,    ,,    ,,    ,,    ,,9864.0000,Good,54.0000,Good,4.0800,Good,7.3800,Good,    ,,5.5200,Good,    ,,28.2600,Good,    ,,    ,,    ,
18-01-2010 08:33:28,-0.99,    ,,    ,,    ,,    ,,    ,,9898.0000,Good,52.6000,Good,3.9900,Good,7.3700,Good,    ,,5.5400,Good,    ,,28.0300,Good,    ,,    ,,    ,
18-01-2010 08:34:20,-1.50,    ,,    ,,    ,,    ,,    ,,10220.0000,Good,48.7000,Good,3.6900,Good,7.3500,Good,    ,,5.7400,Good,    ,,28.0800,Good,    ,,    ,,    ,
25-01-2010 08:51:00,0.00,-1.6000,Good,    ,,    ,,    ,,100.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.0000,Good
25-01-2010 08:51:14,-0.20,    ,,    ,,    ,,    ,,    ,,11380.0000,Good,63.9000,Good,4.8400,Good,7.4900,Good,    ,,6.4400,Good,    ,,27.8400,Good,    ,,    ,,    ,
25-01-2010 08:51:50,-0.50,    ,,    ,,    ,,    ,,    ,,11480.0000,Good,61.9000,Good,4.6800,Good,7.4500,Good,    ,,6.5000,Good,    ,,27.9100,Good,    ,,    ,,    ,
25-01-2010 08:52:35,-1.01,    ,,    ,,    ,,    ,,    ,,11740.0000,Good,59.9000,Good,4.5200,Good,7.4300,Good,    ,,6.6700,Good,    ,,28.0000,Good,    ,,    ,,    ,
25-01-2010 08:53:19,-1.51,    ,,    ,,    ,,    ,,    ,,14150.0000,Good,45.7000,Good,3.3700,Good,7.3400,Good,    ,,8.1400,Good,    ,,28.8700,Good,    ,,    ,,    ,
25-01-2010 08:55:35,-1.61,    ,,    ,,    ,,    ,,    ,,14440.0000,Good,40.2000,Good,2.9600,Good,7.3000,Good,    ,,8.3300,Good,    ,,28.9200,Good,    ,,    ,,    ,
01-02-2010 08:48:00,0.00,-1.4000,Good,    ,,    ,,    ,,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,135.0000,Good,0.5100,Good
01-02-2010 08:59:08,-0.21,    ,,    ,,    ,,    ,,    ,,12490.0000,Good,59.7000,Good,4.5500,Good,7.3700,Good,    ,,7.1300,Good,    ,,27.3000,Good,    ,,    ,,    ,
01-02-2010 08:59:58,-0.46,    ,,    ,,    ,,    ,,    ,,12630.0000,Good,57.9000,Good,4.4100,Good,7.3500,Good,    ,,7.2200,Good,    ,,27.2700,Good,    ,,    ,,    ,
01-02-2010 09:00:30,-1.02,    ,,    ,,    ,,    ,,    ,,12760.0000,Good,57.9000,Good,4.4000,Good,7.3500,Good,    ,,7.3000,Good,    ,,27.3000,Good,    ,,    ,,    ,
01-02-2010 09:01:11,-1.21,    ,,    ,,    ,,    ,,    ,,12810.0000,Good,58.3000,Good,4.4300,Good,7.3500,Good,    ,,7.3300,Good,    ,,27.3500,Good,    ,,    ,,    ,
08-02-2010 08:55:18,-0.24,    ,,    ,,    ,,    ,,    ,,12280.0000,Good,68.3000,Good,5.3800,Good,7.4800,Good,    ,,7.0200,Good,    ,,25.3900,Good,    ,,    ,,    ,
08-02-2010 08:56:00,0.00,-1.5000,Good,    ,,    ,,    ,,40.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,1.5000,Good,    ,,    ,,135.0000,Good,1.0200,Good
08-02-2010 08:56:21,-0.51,    ,,    ,,    ,,    ,,    ,,12370.0000,Good,67.7000,Good,5.3300,Good,7.4500,Good,    ,,7.0700,Good,    ,,25.4100,Good,    ,,    ,,    ,
08-02-2010 08:57:26,-1.02,    ,,    ,,    ,,    ,,    ,,12740.0000,Good,66.0000,Good,5.1900,Good,7.4400,Good,    ,,7.3000,Good,    ,,25.4500,Good,    ,,    ,,    ,
08-02-2010 08:58:35,-1.33,    ,,    ,,    ,,    ,,    ,,14250.0000,Good,59.6000,Good,4.6200,Good,7.3800,Good,    ,,8.2400,Good,    ,,25.9400,Good,    ,,    ,,    ,
15-02-2010 08:54:11,-0.20,    ,,    ,,    ,,    ,,    ,,16610.0000,Good,56.9000,Good,4.2700,Good,7.3700,Good,    ,,9.7100,Good,    ,,27.2500,Good,    ,,    ,,    ,
15-02-2010 08:55:00,0.00,-1.6000,Good,    ,,    ,,    ,,20.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.0000,Good
15-02-2010 08:55:16,-0.50,    ,,    ,,    ,,    ,,    ,,16810.0000,Good,54.6000,Good,4.1000,Good,7.3600,Good,    ,,9.8400,Good,    ,,27.2300,Good,    ,,    ,,    ,
15-02-2010 08:55:50,-1.00,    ,,    ,,    ,,    ,,    ,,16960.0000,Good,54.1000,Good,4.0600,Good,7.3700,Good,    ,,9.9400,Good,    ,,27.1500,Good,    ,,    ,,    ,
15-02-2010 08:56:42,-1.49,    ,,    ,,    ,,    ,,    ,,17800.0000,Good,48.9000,Good,3.6400,Good,7.3500,Good,    ,,10.4700,Good,    ,,27.4900,Good,    ,,    ,,    ,
22-02-2010 09:18:00,0.00,-1.3500,Good,    ,,    ,,    ,,1.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,90.0000,Good,0.5100,Good
22-02-2010 09:19:07,-0.19,    ,,    ,,    ,,    ,,    ,,16370.0000,Good,66.0000,Good,5.0800,Good,7.5700,Good,    ,,9.5700,Good,    ,,25.9000,Good,    ,,    ,,    ,
22-02-2010 09:19:52,-0.53,    ,,    ,,    ,,    ,,    ,,16340.0000,Good,64.2000,Good,4.9400,Good,7.5700,Good,    ,,9.5500,Good,    ,,25.9100,Good,    ,,    ,,    ,
22-02-2010 09:20:18,-1.00,    ,,    ,,    ,,    ,,    ,,16470.0000,Good,64.8000,Good,4.9800,Good,7.5500,Good,    ,,9.6300,Good,    ,,25.9400,Good,    ,,    ,,    ,
22-02-2010 09:20:55,-1.30,    ,,    ,,    ,,    ,,    ,,16860.0000,Good,59.9000,Good,4.5900,Good,7.5200,Good,    ,,9.8800,Good,    ,,26.1000,Good,    ,,    ,,    ,
02-03-2010 09:05:08,-0.20,    ,,    ,,    ,,    ,,    ,,20930.0000,Good,45.6000,Good,3.3800,Good,7.2900,Good,    ,,12.4900,Good,    ,,27.1000,Good,    ,,    ,,    ,
02-03-2010 09:06:00,0.00,-1.5000,Good,    ,,    ,,    ,,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.0000,Good
02-03-2010 09:06:52,-0.55,    ,,    ,,    ,,    ,,    ,,21160.0000,Good,43.9000,Good,3.2500,Good,7.3000,Good,    ,,12.6500,Good,    ,,27.1300,Good,    ,,    ,,    ,
02-03-2010 09:07:52,-1.01,    ,,    ,,    ,,    ,,    ,,21290.0000,Good,42.2000,Good,3.1300,Good,7.3400,Good,    ,,12.7300,Good,    ,,27.0000,Good,    ,,    ,,    ,
02-03-2010 09:08:51,-1.49,    ,,    ,,    ,,    ,,    ,,22850.0000,Good,35.3000,Good,2.5900,Good,7.3000,Good,    ,,13.7400,Good,    ,,27.3100,Good,    ,,    ,,    ,
08-03-2010 08:46:00,-0.22,    ,,    ,,    ,,    ,,    ,,18300.0000,Good,60.2000,Good,4.7400,Good,7.3900,Good,    ,,10.8200,Good,    ,,24.3500,Good,    ,,    ,,    ,
08-03-2010 08:47:00,0.00,-1.0000,Good,    ,,    ,,    ,,10.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,135.0000,Good,1.0200,Good
08-03-2010 08:47:06,-0.51,    ,,    ,,    ,,    ,,    ,,18360.0000,Good,59.6000,Good,4.6900,Good,7.3800,Good,    ,,10.8700,Good,    ,,24.3300,Good,    ,,    ,,    ,
08-03-2010 08:48:46,-1.01,    ,,    ,,    ,,    ,,    ,,19300.0000,Good,50.2000,Good,3.9100,Good,7.3300,Good,    ,,11.4700,Good,    ,,24.6000,Good,    ,,    ,,    ,
08-03-2010 08:50:01,-1.34,    ,,    ,,    ,,    ,,    ,,20180.0000,Good,37.1000,Good,2.8600,Good,7.2800,Good,    ,,12.0300,Good,    ,,25.0100,Good,    ,,    ,,    ,
15-03-2010 08:49:32,-0.19,    ,,    ,,    ,,    ,,    ,,27870.0000,Good,52.0000,Good,3.8800,Good,7.4000,Good,    ,,17.1200,Good,    ,,25.3300,Good,    ,,    ,,    ,
15-03-2010 08:50:51,-0.50,    ,,    ,,    ,,    ,,    ,,28100.0000,Good,45.4000,Good,3.3800,Good,7.3700,Good,    ,,17.2800,Good,    ,,25.3500,Good,    ,,    ,,    ,
15-03-2010 08:52:00,0.00,    ,,    ,,    ,,    ,,80.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,0.6000,Good,    ,,    ,,135.0000,Good,1.5300,Good
15-03-2010 08:52:40,-1.01,    ,,    ,,    ,,    ,,    ,,28630.0000,Good,35.2000,Good,2.6100,Good,7.3300,Good,    ,,17.6300,Good,    ,,25.3600,Good,    ,,    ,,    ,
15-03-2010 08:53:25,-1.49,    ,,    ,,    ,,    ,,    ,,30500.0000,Good,21.0000,Good,1.5400,Good,7.2900,Good,    ,,18.9000,Good,    ,,25.7200,Good,    ,,    ,,    ,
15-03-2010 08:53:41,-1.60,    ,,    ,,    ,,    ,,    ,,30420.0000,Good,20.5000,Good,1.5000,Good,7.2900,Good,    ,,18.8500,Good,    ,,25.7000,Good,    ,,    ,,    ,
22-03-2010 09:06:00,0.00,-1.7500,Good,    ,,    ,,    ,,99.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,1.0000,Good,    ,,    ,,45.0000,Good,0.5100,Good
29-03-2010 08:54:22,-0.21,    ,,    ,,    ,,    ,,    ,,26020.0000,Good,58.4000,Good,4.5700,Good,7.3300,Good,    ,,15.9100,Good,    ,,23.0500,Good,    ,,    ,,    ,
29-03-2010 08:55:00,0.00,-1.4000,Good,    ,,    ,,    ,,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,0.7000,Good,    ,,    ,,90.0000,Good,1.0200,Good
29-03-2010 08:55:47,-0.50,    ,,    ,,    ,,    ,,    ,,26110.0000,Good,58.6000,Good,4.5800,Good,7.3500,Good,    ,,15.9700,Good,    ,,22.9800,Good,    ,,    ,,    ,
29-03-2010 08:56:31,-1.00,    ,,    ,,    ,,    ,,    ,,26220.0000,Good,54.7000,Good,4.2900,Good,7.3300,Good,    ,,16.0500,Good,    ,,22.8700,Good,    ,,    ,,    ,
29-03-2010 08:57:35,-1.42,    ,,    ,,    ,,    ,,    ,,27630.0000,Good,37.4000,Good,2.8800,Good,7.2600,Good,    ,,16.9900,Good,    ,,23.6400,Good,    ,,    ,,    ,
06-04-2010 10:48:00,0.00,-1.6000,Good,    ,,    ,,    ,,99.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,1.1000,Good,    ,,    ,,    ,,0.0000,Good
06-04-2010 10:48:02,-0.21,    ,,    ,,    ,,    ,,    ,,14810.0000,Good,26.8000,Good,2.2500,Good,7.2500,Good,    ,,8.6300,Good,    ,,21.6300,Good,    ,,    ,,    ,
06-04-2010 10:49:17,-0.55,    ,,    ,,    ,,    ,,    ,,14810.0000,Good,19.1000,Good,1.6000,Good,7.1700,Good,    ,,8.6300,Good,    ,,21.6600,Good,    ,,    ,,    ,
06-04-2010 10:49:47,-1.00,    ,,    ,,    ,,    ,,    ,,14840.0000,Good,18.5000,Good,1.5500,Good,7.1600,Good,    ,,8.6500,Good,    ,,21.6100,Good,    ,,    ,,    ,
06-04-2010 10:51:02,-1.49,    ,,    ,,    ,,    ,,    ,,14870.0000,Good,17.6000,Good,1.4800,Good,7.1500,Good,    ,,8.6600,Good,    ,,21.5900,Good,    ,,    ,,    ,
06-04-2010 10:51:35,-1.61,    ,,    ,,    ,,    ,,    ,,14860.0000,Good,17.4000,Good,1.4600,Good,7.1500,Good,    ,,8.6600,Good,    ,,21.5800,Good,    ,,    ,,    ,
12-04-2010 09:00:58,-0.24,    ,,    ,,    ,,    ,,    ,,17420.0000,Good,49.3000,Good,4.1100,Good,7.2600,Good,    ,,10.2900,Good,    ,,21.3100,Good,    ,,    ,,    ,
12-04-2010 09:02:00,0.00,-1.8000,Good,    ,,    ,,    ,,100.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,1.0000,Good,    ,,    ,,    ,,0.0000,Good
12-04-2010 09:02:02,-0.52,    ,,    ,,    ,,    ,,    ,,17600.0000,Good,47.7000,Good,3.9700,Good,7.2500,Good,    ,,10.4000,Good,    ,,21.3800,Good,    ,,    ,,    ,
12-04-2010 09:03:05,-1.01,    ,,    ,,    ,,    ,,    ,,18030.0000,Good,42.9000,Good,3.5600,Good,7.2300,Good,    ,,10.6800,Good,    ,,21.4700,Good,    ,,    ,,    ,
12-04-2010 09:04:28,-1.52,    ,,    ,,    ,,    ,,    ,,20970.0000,Good,18.4000,Good,1.5000,Good,7.1400,Good,    ,,12.5800,Good,    ,,21.9500,Good,    ,,    ,,    ,
12-04-2010 09:05:19,-1.68,    ,,    ,,    ,,    ,,    ,,21320.0000,Good,16.2000,Good,1.3200,Good,7.1300,Good,    ,,12.8100,Good,    ,,21.9900,Good,    ,,    ,,    ,
19-04-2010 08:51:21,-0.24,    ,,    ,,    ,,    ,,    ,,20890.0000,Good,37.8000,Good,3.1700,Good,7.2400,Good,    ,,12.5400,Good,    ,,20.3000,Good,    ,,    ,,    ,
19-04-2010 08:52:00,0.00,-1.9000,Good,    ,,    ,,    ,,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,1.5000,Good,    ,,    ,,    ,,0.0000,Good
19-04-2010 08:52:24,-0.50,    ,,    ,,    ,,    ,,    ,,21990.0000,Good,30.4000,Good,2.5200,Good,7.2000,Good,    ,,13.2600,Good,    ,,20.6800,Good,    ,,    ,,    ,
19-04-2010 08:53:41,-1.02,    ,,    ,,    ,,    ,,    ,,24830.0000,Good,19.9000,Good,1.6100,Good,7.1700,Good,    ,,15.1300,Good,    ,,21.3700,Good,    ,,    ,,    ,
19-04-2010 08:54:55,-1.51,    ,,    ,,    ,,    ,,    ,,27660.0000,Good,10.6000,Good,0.8500,Good,7.1600,Good,    ,,17.0300,Good,    ,,21.7700,Good,    ,,    ,,    ,
19-04-2010 08:55:55,-1.70,    ,,    ,,    ,,    ,,    ,,28270.0000,Good,8.5000,Good,0.6700,Good,7.1600,Good,    ,,17.4400,Good,    ,,21.8400,Good,    ,,    ,,    ,
27-04-2010 09:23:36,-0.22,    ,,    ,,    ,,    ,,    ,,23760.0000,Good,72.9000,Good,6.1400,Good,7.3800,Good,    ,,14.4400,Good,    ,,19.5400,Good,    ,,    ,,    ,
27-04-2010 09:24:00,0.00,-2.0000,Good,    ,,    ,,    ,,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,0.9000,Good,    ,,    ,,135.0000,Good,1.0200,Good
27-04-2010 09:24:52,-0.51,    ,,    ,,    ,,    ,,    ,,23860.0000,Good,73.3000,Good,6.1800,Good,7.3800,Good,    ,,14.5000,Good,    ,,19.5100,Good,    ,,    ,,    ,
27-04-2010 09:26:10,-1.03,    ,,    ,,    ,,    ,,    ,,23890.0000,Good,73.6000,Good,6.2000,Good,7.3900,Good,    ,,14.5300,Good,    ,,19.4800,Good,    ,,    ,,    ,
27-04-2010 09:28:32,-1.52,    ,,    ,,    ,,    ,,    ,,23920.0000,Good,73.9000,Good,6.2300,Good,7.3900,Good,    ,,14.5400,Good,    ,,19.4900,Good,    ,,    ,,    ,
27-04-2010 09:29:31,-1.81,    ,,    ,,    ,,    ,,    ,,23950.0000,Good,73.0000,Good,6.1600,Good,7.3900,Good,    ,,14.5600,Good,    ,,19.4400,Good,    ,,    ,,    ,
03-05-2010 09:13:52,-0.19,    ,,    ,,    ,,    ,,    ,,22540.0000,Good,76.5000,Good,6.6800,Good,7.4000,Good,    ,,13.6400,Good,    ,,17.9500,Good,    ,,    ,,    ,
03-05-2010 09:14:00,0.00,-1.7000,Good,    ,,    ,,    ,,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,1.1000,Good,    ,,    ,,    ,,0.0000,Good
03-05-2010 09:14:55,-0.50,    ,,    ,,    ,,    ,,    ,,23030.0000,Good,73.0000,Good,6.3200,Good,7.3700,Good,    ,,13.9600,Good,    ,,18.2700,Good,    ,,    ,,    ,
03-05-2010 09:15:48,-1.00,    ,,    ,,    ,,    ,,    ,,23980.0000,Good,66.7000,Good,5.6900,Good,7.3300,Good,    ,,14.5900,Good,    ,,18.8600,Good,    ,,    ,,    ,
03-05-2010 09:16:35,-1.50,    ,,    ,,    ,,    ,,    ,,24450.0000,Good,64.1000,Good,5.4300,Good,7.3200,Good,    ,,14.9000,Good,    ,,19.1400,Good,    ,,    ,,    ,
10-05-2010 09:03:00,0.00,-2.3000,Good,    ,,    ,,    ,,100.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,1.6000,Good,    ,,    ,,    ,,    ,
10-05-2010 09:03:43,-0.25,    ,,    ,,    ,,    ,,    ,,24640.0000,Good,60.0000,Good,5.3600,Good,7.3600,Good,    ,,15.0300,Good,    ,,16.4900,Good,    ,,    ,,    ,
10-05-2010 09:04:33,-0.51,    ,,    ,,    ,,    ,,    ,,25290.0000,Good,56.9000,Good,5.0500,Good,7.3300,Good,    ,,15.4700,Good,    ,,16.6000,Good,    ,,    ,,    ,
10-05-2010 09:05:23,-1.07,    ,,    ,,    ,,    ,,    ,,27190.0000,Good,43.5000,Good,3.7500,Good,7.2600,Good,    ,,16.7400,Good,    ,,17.6100,Good,    ,,    ,,    ,
10-05-2010 09:06:33,-1.57,    ,,    ,,    ,,    ,,    ,,30360.0000,Good,22.4000,Good,1.8700,Good,7.1500,Good,    ,,18.8900,Good,    ,,18.7700,Good,    ,,    ,,    ,
10-05-2010 09:07:57,-2.01,    ,,    ,,    ,,    ,,    ,,30530.0000,Good,18.8000,Good,1.5600,Good,7.1300,Good,    ,,19.0000,Good,    ,,18.8400,Good,    ,,    ,,    ,
17-05-2010 09:13:00,0.00,-1.8000,Good,    ,,    ,,    ,,20.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,1.7000,Good,    ,,    ,,    ,,0.0000,Good
17-05-2010 09:13:56,-0.22,    ,,    ,,    ,,    ,,    ,,27460.0000,Good,39.6000,Good,3.5500,Good,7.2200,Good,    ,,16.9200,Good,    ,,15.7100,Good,    ,,    ,,    ,
17-05-2010 09:14:22,-0.48,    ,,    ,,    ,,    ,,    ,,27500.0000,Good,39.2000,Good,3.5200,Good,7.2100,Good,    ,,16.9400,Good,    ,,15.6400,Good,    ,,    ,,    ,
17-05-2010 09:14:56,-1.03,    ,,    ,,    ,,    ,,    ,,27500.0000,Good,39.4000,Good,3.5300,Good,7.2100,Good,    ,,16.9500,Good,    ,,15.6600,Good,    ,,    ,,    ,
17-05-2010 09:15:26,-1.48,    ,,    ,,    ,,    ,,    ,,27590.0000,Good,39.0000,Good,3.4900,Good,7.2000,Good,    ,,17.0100,Good,    ,,15.6900,Good,    ,,    ,,    ,
17-05-2010 09:15:44,-1.70,    ,,    ,,    ,,    ,,    ,,27620.0000,Good,38.6000,Good,3.4500,Good,7.2000,Good,    ,,17.0300,Good,    ,,15.7100,Good,    ,,    ,,    ,
24-05-2010 09:11:01,-0.22,    ,,    ,,    ,,    ,,    ,,18060.0000,Good,59.4000,Good,5.7800,Good,7.0700,Good,    ,,10.7200,Good,    ,,13.5900,Good,    ,,    ,,    ,
24-05-2010 09:12:00,0.00,-1.9000,Good,    ,,    ,,    ,,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,1.5000,Good,    ,,    ,,    ,,0.0000,Good
24-05-2010 09:12:20,-0.52,    ,,    ,,    ,,    ,,    ,,22400.0000,Good,56.1000,Good,5.2600,Good,6.9800,Good,    ,,13.5400,Good,    ,,14.5400,Good,    ,,    ,,    ,
24-05-2010 09:13:28,-1.01,    ,,    ,,    ,,    ,,    ,,24760.0000,Good,47.0000,Good,4.2400,Good,6.9300,Good,    ,,15.1100,Good,    ,,15.8500,Good,    ,,    ,,    ,
24-05-2010 09:15:23,-1.53,    ,,    ,,    ,,    ,,    ,,28120.0000,Good,29.8000,Good,2.6100,Good,6.8600,Good,    ,,17.3700,Good,    ,,16.6400,Good,    ,,    ,,    ,
24-05-2010 09:16:23,-1.77,    ,,    ,,    ,,    ,,    ,,29280.0000,Good,24.2000,Good,2.1000,Good,6.8400,Good,    ,,18.1500,Good,    ,,16.7600,Good,    ,,    ,,    ,
31-05-2010 09:16:33,-0.21,    ,,    ,,    ,,    ,,    ,,13600.0000,Good,59.5000,Good,5.8600,Good,7.2600,Good,    ,,7.8900,Good,    ,,13.8700,Good,    ,,    ,,    ,
31-05-2010 09:17:00,0.00,-2.3000,Good,    ,,    ,,    ,,15.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,2.0000,Good,    ,,    ,,    ,,0.0000,Good
31-05-2010 09:17:16,-0.52,    ,,    ,,    ,,    ,,    ,,13700.0000,Good,59.1000,Good,5.8100,Good,7.2500,Good,    ,,7.9500,Good,    ,,13.8900,Good,    ,,    ,,    ,
31-05-2010 09:18:22,-1.00,    ,,    ,,    ,,    ,,    ,,14860.0000,Good,54.8000,Good,5.3000,Good,7.2200,Good,    ,,8.6800,Good,    ,,14.4900,Good,    ,,    ,,    ,
31-05-2010 09:19:26,-1.50,    ,,    ,,    ,,    ,,    ,,22030.0000,Good,33.1000,Good,3.0100,Good,7.0900,Good,    ,,13.3100,Good,    ,,16.1000,Good,    ,,    ,,    ,
31-05-2010 09:20:16,-2.02,    ,,    ,,    ,,    ,,    ,,23540.0000,Good,26.4000,Good,2.3700,Good,7.0800,Good,    ,,14.3000,Good,    ,,16.3800,Good,    ,,    ,,    ,
31-05-2010 09:20:51,-2.23,    ,,    ,,    ,,    ,,    ,,23750.0000,Good,25.2000,Good,2.2600,Good,7.0800,Good,    ,,14.4400,Good,    ,,16.4000,Good,    ,,    ,,    ,
07-06-2010 09:19:00,0.00,-1.8000,Good,    ,,    ,,    ,,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,1.3000,Good,    ,,    ,,135.0000,Good,0.5100,Good
08-06-2010 09:18:49,-0.20,    ,,    ,,    ,,    ,,    ,,14320.0000,Good,68.6000,Good,6.7800,Good,7.4300,Good,    ,,8.3400,Good,    ,,13.5200,Good,    ,,    ,,    ,
08-06-2010 09:19:59,-0.51,    ,,    ,,    ,,    ,,    ,,15060.0000,Good,62.8000,Good,6.1500,Good,7.3500,Good,    ,,8.8000,Good,    ,,13.8400,Good,    ,,    ,,    ,
08-06-2010 09:22:53,-1.00,    ,,    ,,    ,,    ,,    ,,22960.0000,Good,34.3000,Good,3.1200,Good,7.1400,Good,    ,,13.9200,Good,    ,,15.9000,Good,    ,,    ,,    ,
08-06-2010 09:23:41,-1.51,    ,,    ,,    ,,    ,,    ,,34170.0000,Good,13.3000,Good,1.1100,Good,6.9300,Good,    ,,21.5100,Good,    ,,17.7200,Good,    ,,    ,,    ,
08-06-2010 09:24:44,-1.84,    ,,    ,,    ,,    ,,    ,,34730.0000,Good,6.9000,Good,0.5700,Good,6.9300,Good,    ,,21.9000,Good,    ,,17.7800,Good,    ,,    ,,    ,
14-06-2010 09:03:21,-0.19,    ,,    ,,    ,,    ,,    ,,18210.0000,Good,64.8000,Good,6.3500,Good,7.3900,Good,    ,,10.8100,Good,    ,,13.2300,Good,    ,,    ,,    ,
14-06-2010 09:04:00,0.00,-2.0000,Good,    ,,    ,,    ,,100.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,1.5000,Good,    ,,    ,,    ,,0.0000,Good
14-06-2010 09:04:36,-0.50,    ,,    ,,    ,,    ,,    ,,21960.0000,Good,55.9000,Good,5.3100,Good,7.2500,Good,    ,,13.2500,Good,    ,,14.0200,Good,    ,,    ,,    ,
14-06-2010 09:05:41,-1.00,    ,,    ,,    ,,    ,,    ,,25910.0000,Good,43.5000,Good,3.9800,Good,7.1600,Good,    ,,15.8700,Good,    ,,14.9700,Good,    ,,    ,,    ,
14-06-2010 09:06:34,-1.50,    ,,    ,,    ,,    ,,    ,,31020.0000,Good,28.0000,Good,2.4500,Good,7.0700,Good,    ,,19.3400,Good,    ,,16.1500,Good,    ,,    ,,    ,
