Var1,Var2,Var3
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW075_pH_DATA.csv,Beach porewater,2023-01-19 09:20:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW076_pH_DATA.csv,Beach porewater,2023-01-19 09:39:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW077_pH_DATA.csv,Beach porewater,2023-01-19 09:48:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW078_pH_DATA.csv,Beach porewater,2023-01-19 10:03:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW079_pH_DATA.csv,Beach porewater,2023-01-19 10:04:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW079_pH_DATA.csv,Beach porewater,2023-01-19 10:16:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW080_pH_DATA.csv,Beach porewater,2023-01-19 10:28:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW081_pH_DATA.csv,Beach porewater,2023-01-19 10:38:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW081_pH_DATA.csv,Seawater,2023-01-19 10:42:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW015_pH_DATA.csv,Beach porewater,2023-01-19 11:41:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW001_ECond_DATA.csv,Beach porewater,2022-11-24 09:26:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW002_ECond_DATA.csv,Beach porewater,2022-11-24 09:48:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW003_ECond_DATA.csv,Beach porewater,2022-11-24 10:00:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW004_ECond_DATA.csv,Beach porewater,2022-11-24 10:12:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW005_ECond_DATA.csv,Beach porewater,2022-11-24 10:21:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW006_ECond_DATA.csv,Beach porewater,2022-11-24 10:32:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW007_ECond_DATA.csv,Beach porewater,2022-11-24 10:49:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW008_ECond_DATA.csv,Beach porewater,2022-11-24 11:07:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW009_ECond_DATA.csv,Beach porewater,2022-11-24 11:18:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW010_ECond_DATA.csv,Beach porewater,2022-11-24 11:28:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW011_ECond_DATA.csv,Beach porewater,2022-11-24 11:38:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW012_ECond_DATA.csv,Beach porewater,2022-11-24 11:48:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW013_ECond_DATA.csv,Beach porewater,2022-11-24 11:58:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW014_ECond_DATA.csv,Beach porewater,2022-11-24 12:11:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW015_ECond_DATA.csv,Beach porewater,2022-11-24 12:26:59
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW016_ECond_DATA.csv,Beach porewater,2022-11-24 13:24:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW017_ECond_DATA.csv,Beach porewater,2022-11-24 13:44:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW018_ECond_DATA.csv,Beach porewater,2022-11-24 14:18:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW018_ECond_DATA.csv,Beach porewater,2022-11-24 14:19:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW019_ECond_DATA.csv,Beach porewater,2022-11-24 14:45:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW019_ECond_DATA.csv,Seawater,2022-11-24 14:53:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW020_ECond_DATA.csv,Beach porewater,2022-11-29 08:33:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW021_ECond_DATA.csv,Beach porewater,2022-11-29 09:25:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW022_ECond_DATA.csv,Beach porewater,2022-11-29 09:45:00
/GIS_DATA/csiem-data-hub/data-warehouse/csv/wamsi/wwmsp3/porewater/MAFRL_CS_PW023_ECond_DATA.csv,Beach porewater,2022-11-29 09:55:00
