AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program
csiro_597c,597c,597c,597c,-1,-1,-32.8124,114.9789,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597d,597d,597d,597d,-1,-1,-32.4608,114.9453,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597e,597e,597e,597e,-1,-1,-32.3936,115.0044,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597f,597f,597f,597f,-1,-1,-32.3286,115.0616,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597g,597g,597g,597g,-1,-1,-32.2598,115.122,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597h,597h,597h,597h,-1,-1,-32.1946,115.1793,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597i,597i,597i,597i,-1,-1,-32.1278,115.238,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597j,597j,597j,597j,-1,-1,-32.0597,115.2977,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597k,597k,597k,597k,-1,-1,-31.9927,115.3563,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597m,597m,597m,597m,-1,-1,-31.9526,115.4008,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597n,597n,597n,597n,-1,-1,-31.7205,115.001,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597o,597o,597o,597o,-1,-1,-31.6415,114.9694,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597p,597p,597p,597p,-1,-1,-31.5625,114.9378,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
